identifier,InteractionProbability
ackr1_human___856,0.2
ackr2_human___856,0.349
calcr_human___1099,0.038
calcr_human___1140,0.114
calcr_human___1152,0.044
calcr_human___1162,0.125
calcr_human___2257,0.081
calcr_human___3643,0.433
calcr_human___3700,0.0
calcr_human___3935,0.173
calcr_human___687,0.509
calcr_human___798,0.0
calcr_human___921,0.231
ccr4_human___856,0.405
ccr6_human___856,0.201
ccr7_human___856,0.119
ccr8_human___856,0.294
ccr9_human___856,0.079
cx3c1_human___2257,0.42
cx3c1_human___3548,0.0
cx3c1_human___3647,0.383
cx3c1_human___5654,0.246
cx3c1_human___644,0.252
cx3c1_human___681,0.183
cx3c1_human___798,0.413
cx3c1_human___808,0.194
cx3c1_human___817,0.403
cx3c1_human___856,0.547
cx3c1_human___921,0.159
fshr_human___1157,0.018
fshr_human___1495,0.173
fshr_human___1997,0.209
fshr_human___2019,0.004
fshr_human___2270,0.202
fshr_human___3633,0.161
fshr_human___3640,0.0
fshr_human___3643,0.276
fshr_human___3700,0.333
fshr_human___4358,0.09
fshr_human___612,0.225
fzd1_human___1320,0.142
fzd1_human___1490,0.022
fzd1_human___2945,0.044
fzd1_human___3548,0.05
fzd1_human___6067,0.013
fzd1_human___612,0.165
fzd1_human___644,0.052
fzd1_human___681,0.016
fzd1_human___810,0.0
fzd1_human___921,0.091
fzd1_human___989,0.158
fzd2_human___856,0.0
fzd6_human___3542,0.096
fzd6_human___3548,0.275
fzd6_human___3594,0.047
fzd6_human___3646,0.0
fzd6_human___3735,0.139
fzd6_human___644,0.071
fzd6_human___646,0.069
fzd6_human___808,0.009
ghrhr_human___1136,0.482
ghrhr_human___1152,0.562
ghrhr_human___1272,0.0
ghrhr_human___1867,0.0
ghrhr_human___2257,0.547
ghrhr_human___2270,0.614
ghrhr_human___3542,0.477
ghrhr_human___3643,0.463
ghrhr_human___613,0.022
ghrhr_human___644,0.343
ghrhr_human___758,0.0
gipr_human___1136,0.542
gipr_human___1140,0.587
gipr_human___1152,0.518
gipr_human___1298,0.246
gipr_human___1320,0.0
gipr_human___1790,0.497
gipr_human___3542,0.591
gipr_human___3594,0.017
gipr_human___3643,0.523
gipr_human___574,0.0
gipr_human___798,0.0
glp2r_human___856,0.164
gp107_human___856,0.008
gpr39_human___856,0.084
lgr4_human___856,0.199
pacr_human___1136,0.521
pacr_human___1140,0.474
pacr_human___1579,0.328
pacr_human___1790,0.444
pacr_human___2257,0.58
pacr_human___2270,0.471
pacr_human___3570,0.0
pacr_human___3594,0.379
pacr_human___3643,0.528
pacr_human___4358,0.135
pacr_human___821,0.0
pth1r_human___1140,0.472
pth1r_human___1152,0.576
pth1r_human___1283,0.368
pth1r_human___1790,0.615
pth1r_human___1871,0.176
pth1r_human___2257,0.598
pth1r_human___3542,0.495
pth1r_human___3594,0.034
pth1r_human___3643,0.523
pth1r_human___3645,0.055
pth1r_human___855,0.0
pth2r_human___1099,0.061
pth2r_human___1140,0.354
pth2r_human___1152,0.503
pth2r_human___1162,0.096
pth2r_human___1790,0.527
pth2r_human___1867,0.075
pth2r_human___2257,0.509
pth2r_human___3542,0.506
pth2r_human___3594,0.09
pth2r_human___3643,0.412
pth2r_human___5895,0.032
vipr1_human___1136,0.496
vipr1_human___1140,0.506
vipr1_human___1152,0.587
vipr1_human___1504,0.125
vipr1_human___1790,0.406
vipr1_human___1871,0.028
vipr1_human___2156,0.108
vipr1_human___3542,0.511
vipr1_human___3640,0.0
vipr1_human___808,0.0
vipr1_human___921,0.429
vipr2_human___1047,0.131
vipr2_human___1136,0.467
vipr2_human___1140,0.404
vipr2_human___1152,0.555
vipr2_human___1283,0.1
vipr2_human___1790,0.084
vipr2_human___2156,0.089
vipr2_human___3542,0.508
vipr2_human___3700,0.014
vipr2_human___808,0.06
vipr2_human___921,0.147
xcr1_human___856,0.273
